[2026-01-25 11:28:40,843] [INFO] 4.10.0
[2026-01-25 11:28:41,018] [DEBUG] Using proactor: IocpProactor
[2026-01-25 11:28:41,048] [INFO] Started server process [52948]
[2026-01-25 11:28:41,048] [INFO] Waiting for application startup.
[2026-01-25 11:28:41,057] [INFO] PocketBase stater 59148
[2026-01-25 11:28:41,071] [INFO] Loading YOLO models...
[2026-01-25 11:28:41,072] [INFO] Found the 'openvino' file!
[2026-01-25 11:28:41,072] [INFO] Loading onnx/pt
[2026-01-25 11:28:42,444] [DEBUG] Loaded backend Agg version v2.2.
[2026-01-25 11:28:43,024] [INFO] Models loaded successfully
[2026-01-25 11:28:43,094] [INFO] Application startup complete.
[2026-01-25 11:28:43,094] [INFO] Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[2026-01-25 11:28:43,170] [INFO] 127.0.0.1:1405 - "GET /web/app HTTP/1.1" 307
[2026-01-25 11:28:45,224] [INFO] 127.0.0.1:6917 - "GET /flutter_service_worker.js HTTP/1.1" 404
[2026-01-25 11:28:45,253] [INFO] 127.0.0.1:1405 - "GET /web/app/flutter_service_worker.js?v=402086266 HTTP/1.1" 304
[2026-01-25 11:28:55,643] [INFO] 127.0.0.1:13194 - "GET /video_feed/rt1?source=rtsp://:@192.168.1.89:554/mainstream HTTP/1.1" 200
[2026-01-25 11:29:14,406] [INFO] 127.0.0.1:8283 - "GET /flutter_service_worker.js HTTP/1.1" 404
[2026-01-25 11:33:57,454] [INFO] Shutting down
[2026-01-25 11:33:57,562] [INFO] Waiting for application shutdown.
[2026-01-25 11:33:57,714] [INFO] Cleanup complete. Shutting down.
[2026-01-25 11:34:02,986] [INFO] 4.10.0
[2026-01-25 11:34:03,164] [DEBUG] Using proactor: IocpProactor
[2026-01-25 11:34:03,198] [INFO] Started server process [58472]
[2026-01-25 11:34:03,199] [INFO] Waiting for application startup.
[2026-01-25 11:34:03,202] [INFO] PocketBase stater 54104
[2026-01-25 11:34:03,213] [INFO] Loading YOLO models...
[2026-01-25 11:34:03,214] [INFO] Found the 'openvino' file!
[2026-01-25 11:34:03,215] [INFO] Loading onnx/pt
[2026-01-25 11:34:04,843] [DEBUG] Loaded backend Agg version v2.2.
[2026-01-25 11:34:05,438] [INFO] Models loaded successfully
[2026-01-25 11:34:05,502] [INFO] Application startup complete.
[2026-01-25 11:34:05,504] [INFO] Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[2026-01-25 11:34:05,580] [INFO] 127.0.0.1:6786 - "GET /web/app HTTP/1.1" 307
[2026-01-25 11:34:07,526] [INFO] 127.0.0.1:14266 - "GET /flutter_service_worker.js HTTP/1.1" 404
[2026-01-25 11:34:07,554] [INFO] 127.0.0.1:6786 - "GET /web/app/flutter_service_worker.js?v=402086266 HTTP/1.1" 304
